date,lrmes,var,beta,cor,lvg,srisk,marginal_srisk
2000-01-03,0.5948234,0.0007095244,2.09527,0.5209175,8.239303,16767.052035926477,44459.169235926485
2000-01-04,0.5687572,0.0007551917,2.148669,0.5639994,8.696103,16731.933648547998,39987.663648548
2000-01-05,0.5186799,0.0009350058,1.367139,0.658983,8.612564,12839.786893065037,36867.056493065036
2000-01-06,0.5262321,0.0009056546,1.385743,0.6575541,8.013074,10498.007080911797,40601.2050809118
2000-01-07,0.5412989,0.0009234277,1.2755,0.5807948,8.20213,12589.48964890324,40667.38124890324
2000-01-10,0.5271464,0.0009319109,1.14439,0.5078883,8.460718,12757.518558719035,38231.442158719045
2000-01-11,0.5391772,0.0009696096,1.112278,0.4699365,8.622907,14341.150297359203,38271.9762973592
2000-01-12,0.5382058,0.0009634062,1.109556,0.481744,8.54094,13915.897192515193,38618.2811925152
2000-01-13,0.5386615,0.0009331021,1.113195,0.4789636,8.372483,13192.216140073993,39534.132140074005
2000-01-14,0.5212288,0.0009065262,1.158258,0.4912887,7.943638,9742.588740730884,40617.32634073089
2000-01-18,0.505599,0.0009023768,1.219735,0.5037414,8.305286,10431.882814828,37448.894814828
2000-01-19,0.5730599,0.001013281,1.31936,0.5074551,8.305286,15428.601851482796,42445.6138514828
2000-01-20,0.569938,0.0009805155,1.342902,0.5092394,8.612564,16483.142396964795,40510.411996964795
2000-01-21,0.5503687,0.0009691733,1.367716,0.5165511,8.675047,15352.363601593639,38800.98080159364
2000-01-24,0.5715115,0.0009866437,1.419545,0.5173302,8.868807,17586.776100418396,39299.4177004184
2000-01-25,0.5328154,0.0009888196,1.150811,0.5297097,8.770719,14520.364735907602,37100.998735907604
2000-01-26,0.5382563,0.0009579885,1.177164,0.5336286,8.440928,13474.20700561809,39141.00860561808
2000-01-27,0.521867,0.0009401624,1.128595,0.5030956,8.286311,11544.601354926395,38754.500554926395
2000-01-28,0.5313251,0.0009128848,1.121263,0.4939979,8.664562,13964.593853011167,37509.64545301116
2000-01-31,0.5290812,0.00102312,1.10741,0.5490575,8.239303,11853.251409148637,39545.368609148645
2000-02-01,0.5211524,0.001012797,1.205247,0.5856633,8.156198,10844.989249567036,39405.098849567046
2000-02-02,0.5253128,0.0009809695,1.229211,0.5886303,8.343534,12075.174056529278,38706.411656529286
2000-02-03,0.5376327,0.0009855391,1.259037,0.5827097,8.55109,13919.371742542236,38525.30294254224
2000-02-04,0.5311806,0.0009957186,1.228394,0.5489158,8.643678,13863.959097024795,37601.9070970248
2000-02-07,0.5427756,0.0009715269,1.252694,0.5491775,8.738565,15081.628427579362,37951.58402757936
2000-02-08,0.5246178,0.0009486282,1.276837,0.5490266,8.440928,12482.440358636486,38149.24195863648
2000-02-09,0.5465455,0.0009288137,1.343054,0.5670782,8.612564,14820.435554046802,38847.7051540468
2000-02-10,0.5235603,0.0009274797,1.235717,0.5797931,8.81401,14059.716290887118,36254.56669088711
2000-02-11,0.5330989,0.0009341278,1.246145,0.5646196,8.759971,14495.080078768762,37172.148478768766
2000-02-14,0.5018941,0.0009043051,1.055579,0.5316156,8.924378,13039.800726316753,34270.22432631676
2000-02-15,0.5043986,0.0008991348,1.072352,0.5246835,8.685561,12159.270182892957,35511.443782892966
