date,lrmes,var,beta,cor,lvg,srisk,marginal_srisk
2000-01-03,0.6732116,0.0003427914,1.76324,0.6306802,5.108077,4991.8931182751985,110416.44511827521
2000-01-04,0.6668289,0.0005662337,2.166409,0.6567203,5.290657,6270.340338755188,104715.58833875519
2000-01-05,0.6500146,0.0009301193,1.444113,0.6979116,5.274824,3426.3440051631915,102453.21600516321
2000-01-06,0.671058,0.0009116078,1.458559,0.6898427,5.0132,3363.191051768008,112665.267051768
2000-01-07,0.6591635,0.0009112392,1.475343,0.676271,5.02249,1498.369283316002,110412.66528331599
2000-01-10,0.6515601,0.0008568393,1.4078,0.6515877,5.027151,292.3107113571896,109012.7627113572
2000-01-11,0.6424902,0.0008049999,1.394585,0.6466529,5.088743,-324.1313823136006,105875.98061768641
2000-01-12,0.6382437,0.0007713057,1.336395,0.6484753,4.949355,-3127.9071523544044,108888.26084764558
2000-01-13,0.6487576,0.0007538506,1.318658,0.631227,4.909372,-1947.0448327039994,111813.99516729603
2000-01-14,0.6316529,0.0007105753,1.321511,0.633122,4.745078,-7680.102200324807,113641.8657996752
2000-01-18,0.6039959,0.0007106994,1.371487,0.638241,4.713068,-13270.138733955595,109602.8572660444
2000-01-19,0.6362015,0.0006687442,1.337161,0.6330715,4.635388,-8836.620591878003,117913.807408122
2000-01-20,0.6400469,0.00063887,1.340915,0.6299411,4.769448,-5751.2402044692135,114407.5717955308
2000-01-21,0.6337272,0.0006365397,1.359302,0.6334626,4.848762,-5531.680475283203,110943.54352471684
2000-01-24,0.6734459,0.0007390802,1.487662,0.6264079,4.935937,2687.8707767808082,115285.66277678081
2000-01-25,0.6240044,0.0007433874,1.182028,0.6274985,4.887509,-6577.7396628032075,108152.61233719683
2000-01-26,0.6058134,0.0007013973,1.187947,0.6293572,4.737023,-12481.79311004882,109227.95488995119
2000-01-27,0.6184523,0.0006975023,1.171808,0.6064533,4.681602,-11238.594298740412,113185.3377012596
2000-01-28,0.6203895,0.0006600937,1.161081,0.601569,4.870191,-7498.685833436,108007.22616656403
2000-01-31,0.6313849,0.0008669724,1.173976,0.6323085,4.81078,-6584.921728841597,111635.17427115841
2000-02-01,0.6280945,0.0008192253,1.171236,0.6328138,4.729003,-8608.735692164002,113488.792307836
2000-02-02,0.6181132,0.0007804101,1.186119,0.6368108,4.806607,-9005.517683048005,109408.42231695201
2000-02-03,0.6220191,0.0007395739,1.191724,0.6367015,4.857304,-7434.822028590395,108652.71397140961
2000-02-04,0.6334574,0.0007439277,1.19284,0.6166701,4.967387,-3660.2707363312074,107580.5212636688
2000-02-07,0.6421617,0.0007765626,1.245981,0.6109679,4.994751,-1765.7256619476102,108311.7263380524
2000-02-08,0.6403646,0.0007331501,1.249912,0.6113486,4.896224,-3602.7590198736216,110739.90498012642
2000-02-09,0.6490908,0.0007096619,1.283077,0.6197845,5.008574,-392.9153620816069,109102.91263791839
2000-02-10,0.6287196,0.0007733454,1.236477,0.6353389,5.045905,-3241.191613284798,104703.70038671521
2000-02-11,0.6349054,0.0007341122,1.238377,0.6329395,5.02249,-2564.9647388336016,106349.33126116639
2000-02-14,0.5939664,0.0006896502,1.061295,0.6120486,5.02249,-9422.419837657595,99491.87616234239
2000-02-15,0.6029063,0.0006471692,1.062379,0.6126933,4.999347,-8309.856585573594,101573.7514144264
2000-02-16,0.5940298,0.0006139754,1.073754,0.6165584,5.029486,-9293.739064560796,99329.74493543922
2000-02-17,0.5962732,0.0006291228,1.099263,0.6224717,5.137419,-7157.520684468807,97103.87531553119
2000-02-18,0.6039875,0.0006356109,1.130645,0.6172169,5.222882,-4596.055611850003,96369.53238815
2000-02-22,0.580571,0.0006379603,0.9345569,0.621643,5.217758,-8413.59096000802,92745.841039992
2000-02-23,0.5710145,0.0006060993,0.9365269,0.6189718,5.290657,-8775.890062064005,89669.357937936
2000-02-24,0.5668535,0.0005690509,0.9356782,0.6183144,5.388172,-7917.782846094007,87037.813153906
2000-02-25,0.5916278,0.0006475025,1.016185,0.6137993,5.490222,-2688.72330458081,88777.22069541922
2000-02-28,0.5833013,0.0006734694,1.03068,0.6230829,5.399282,-5230.709486143198,89337.10651385681
2000-02-29,0.5789658,0.0006427443,1.047073,0.628416,5.192318,-9078.172857455196,93050.6631425448
2000-03-01,0.6097612,0.0006784894,1.114961,0.6322792,5.207544,-3901.802227121603,97645.40977287841
2000-03-02,0.5925918,0.0006372521,1.108031,0.6288284,5.217758,-6493.275949486408,94666.15605051361
2000-03-03,0.5996651,0.0005987241,1.108682,0.6290005,5.064831,-7769.367235116399,99400.14876488359
2000-03-06,0.5800829,0.0005965161,1.168825,0.6473976,5.162195,-9387.063029495213,93904.9289705048
2000-03-07,0.5990083,0.0006156904,1.179913,0.6551594,5.31195,-4068.9227444899952,93600.85725551003
2000-03-08,0.595528,0.0007018878,1.125182,0.6745166,5.364058,-3858.1056996800107,91945.91430032
2000-03-09,0.5706464,0.0006587741,1.123494,0.6737849,5.331572,-8196.82764286721,88765.1043571328
2000-03-10,0.578506,0.0006188131,1.078796,0.6514305,5.45312,-5184.673081688015,87531.45891831201
2000-03-13,0.6083856,0.0006575928,1.137752,0.6493611,5.36952,-1797.3823317056158,93813.62166829442
2000-03-14,0.5979372,0.0006262565,1.098369,0.6337881,5.385988,-3175.758595590407,91856.28940440959
2000-03-15,0.5852121,0.0005892389,1.003805,0.6280642,5.176131,-8332.659947975204,94419.10805202479
2000-03-16,0.6012904,0.0006137933,1.0914,0.6525981,4.828121,-11586.5835038144,105832.56049618562
2000-03-17,0.6083022,0.0007056202,1.282428,0.7116368,4.828121,-10352.443148859209,107066.7008511408
2000-03-20,0.6151456,0.0006680981,1.287846,0.7116877,4.883479,-8182.369200780813,106727.8427992192
2000-03-21,0.6056187,0.0006473699,1.299035,0.7124442,4.758069,-12118.690656798412,108581.35734320158
2000-03-22,0.6118446,0.0006346193,1.336176,0.72375,4.746977,-11208.461947266405,110022.33405273358
2000-03-23,0.6159745,0.0005991484,1.339918,0.7241651,4.53723,-14560.607473658005,117332.98852634201
2000-03-24,0.6332296,0.0006225839,1.42141,0.7341278,4.602939,-9999.664328758401,118420.01167124159
2000-03-27,0.6418767,0.0006183678,1.45233,0.7297123,4.632932,-7829.651330891604,119046.0806691084
2000-03-28,0.6239903,0.0005872446,1.456253,0.7295967,4.577096,-12235.498713975205,117535.1972860248
2000-03-29,0.6151704,0.0005573402,1.362504,0.7093949,4.591819,-13599.707430739203,115398.92456926082
2000-03-30,0.6074649,0.0005249223,1.362436,0.7088809,4.667276,-13530.07660031841,111608.7873996816
