date,lrmes,var,beta,cor,lvg,srisk,marginal_srisk
2000-01-03,0.5801497,0.0005302373,1.77821,0.5114,7.167505,4175.1433950945175,20799.614995094522
2000-01-04,0.6338811,0.0007995986,2.249948,0.5739503,7.582088,6928.3010044779185,21294.56820447792
2000-01-05,0.5478224,0.001062145,1.378058,0.6232242,7.905454,4748.582100625921,17541.722900625922
2000-01-06,0.5674423,0.001116137,1.427215,0.6100435,7.6221,4784.159854169477,18947.44745416948
2000-01-07,0.5543257,0.001084227,1.440547,0.6053566,7.597036,4289.6461816584815,18579.79258165848
2000-01-10,0.5694387,0.001037953,1.397138,0.5875325,7.455321,4479.383237356917,19505.35483735692
2000-01-11,0.562538,0.001001124,1.428758,0.5940716,7.422023,4165.313187788801,19368.890787788798
2000-01-12,0.5454178,0.0009587318,1.342648,0.5843668,7.455321,3656.5796976384772,18682.55129763848
2000-01-13,0.5568746,0.0009196218,1.352043,0.5859788,7.445772,4026.5295599904784,19103.24835999048
2000-01-14,0.5465917,0.000880472,1.35334,0.5824662,7.361083,3466.7022137904805,19000.136613790477
2000-01-18,0.5296286,0.0008458562,1.376901,0.5873412,7.269558,2638.354293844801,18679.2422938448
2000-01-19,0.56272,0.0008133168,1.341658,0.5759849,7.220331,3683.3915390719994,20003.389139072002
2000-01-20,0.5498144,0.0007798343,1.357045,0.5770294,7.337953,3521.616852174082,19181.910052174084
2000-01-21,0.5336526,0.0007677944,1.374633,0.583287,7.356444,3005.0960564648794,18563.89485646488
2000-01-24,0.5561773,0.0007359573,1.386293,0.5849617,7.662603,4498.101641441237,18458.40044144124
2000-01-25,0.5145631,0.0008602307,1.289978,0.636601,7.493804,2698.2318074226823,17521.21460742268
2000-01-26,0.5269,0.0008342831,1.313881,0.6382362,7.171873,2278.031328199999,18877.129328200004
2000-01-27,0.5332616,0.000840197,1.249581,0.589234,7.119862,2363.8329575299213,19267.41415752992
2000-01-28,0.5464238,0.0008056929,1.250462,0.5864237,7.260549,3207.6792249817627,19299.31442498176
2000-01-31,0.5109121,0.000807782,1.070567,0.5973644,6.944532,1035.11416311008,19004.35896311008
2000-02-01,0.5036607,0.0008166231,1.163865,0.6298322,6.968962,840.9478717902384,18657.951071790238
2000-02-02,0.5036449,0.0007832307,1.163332,0.6234512,6.97715,865.5511973263965,18631.807197326398
2000-02-03,0.5120691,0.0007502338,1.17689,0.624293,7.37971,2316.1804197420024,17748.120419742005
2000-02-04,0.5470937,0.001016306,1.154652,0.5107107,7.4315,3656.5260758865206,18809.365675886518
2000-02-07,0.5584944,0.0009774403,1.173443,0.5128759,7.351811,3858.0522190265565,19442.224619026558
2000-02-08,0.5396061,0.000938165,1.188755,0.5139947,7.089926,2511.2990252099153,19592.486225209923
2000-02-09,0.5657393,0.0009265832,1.263825,0.5342672,7.27859,3933.960491718997,19924.110491719
2000-02-10,0.5432195,0.0009524525,1.203508,0.5572287,7.28765,3164.0423350746005,19103.445135074595
2000-02-11,0.5530091,0.000911945,1.217267,0.5582029,7.398447,3780.512335742962,19110.95793574296
2000-02-14,0.5095214,0.0008944872,1.116598,0.5654241,7.296737,2003.8688777818425,17892.52447778184
2000-02-15,0.5186072,0.0008605039,1.132982,0.5666555,7.294482,2316.8746913664036,18218.1066913664
2000-02-16,0.530531,0.0008239501,1.140469,0.5652985,7.564856,3414.9644866051985,17869.4136866052
2000-02-17,0.5326231,0.0009128169,1.227624,0.5771111,7.629805,3639.6499161422016,17764.1319161422
2000-02-18,0.5424635,0.0008806881,1.245103,0.5774326,7.737482,4211.7290286674,17803.1814286674
2000-02-22,0.5023643,0.000861637,0.9983459,0.5714141,7.675527,2744.131425381798,16640.1774253818
2000-02-23,0.4927925,0.0008263995,1.014948,0.5744751,7.349536,1564.5198588230014,17161.167458822998
2000-02-24,0.5079972,0.0008315503,1.034673,0.5656101,7.075009,1319.7500807316792,18490.09448073168
2000-02-25,0.5011521,0.000827644,0.982088,0.5246902,7.746565,3182.7349027679593,18164.622502767957
2000-02-28,0.4868255,0.0007938163,0.9401564,0.5235053,7.842396,2923.9635332949983,17398.213533295002
2000-02-29,0.5007095,0.0007741709,0.9261243,0.5064545,7.509523,2507.689997173198,18809.4555971732
2000-03-01,0.5191247,0.0007812831,1.002628,0.5298545,7.354944,2760.0667932423603,19975.585593242362
2000-03-02,0.5152025,0.0007575006,1.039663,0.5411741,7.255905,2313.8150807019992,20138.511880702
2000-03-03,0.5146345,0.0007294769,1.056548,0.5430514,6.874449,1059.654973360397,21422.5581733604
2000-03-06,0.510477,0.0007621306,1.205077,0.5905178,6.807174,650.5259792691977,21495.665579269196
2000-03-07,0.5114827,0.0007321198,1.112789,0.5666308,6.741419,457.28067288571765,21784.68427288572
2000-03-08,0.4668388,0.0007033937,0.8423019,0.5043966,6.91775,-767.5268673155188,19290.782732684478
2000-03-09,0.4813895,0.0007368941,0.8362339,0.4741808,6.617551,-1311.4767007623996,20955.0720992376
2000-03-10,0.4883129,0.0007486141,0.9649442,0.5297631,6.364197,-2062.107026410162,22260.40257358984
2000-03-13,0.4955337,0.0007516258,0.9197199,0.4909892,6.455322,-1348.8033794092007,22212.240620590797
2000-03-14,0.4985921,0.0007403205,0.9417248,0.4997883,6.748269,-66.29635192888236,21210.35084807112
2000-03-15,0.5305807,0.0008990413,1.061343,0.5376084,6.814183,1520.9026248697992,22315.2766248698
2000-03-16,0.5210867,0.0008700699,0.9886672,0.4965303,6.82825,1170.2177711940385,21863.07897119404
