date,lrmes,var,beta,cor,lvg,srisk,marginal_srisk
2000-01-03,0.7132478,0.0004496214,2.147435,0.6706706,7.905714,26391.139090573844,59995.981890573836
2000-01-04,0.8033692,0.0007904816,2.657533,0.6818212,8.100584,34425.76926626176,65722.10206626175
2000-01-05,0.6722602,0.0007894232,1.159323,0.6081605,8.144688,23865.49970867512,54656.835308675116
2000-01-06,0.6892078,0.000749077,1.164767,0.6077233,8.044674,24884.657171210565,56830.25237121057
2000-01-07,0.6774672,0.0007123877,1.171159,0.6071577,7.91758,23427.92979862848,56888.49819862849
2000-01-10,0.6816913,0.0006809693,1.174555,0.6098051,8.038517,24241.90163405608,56259.643234056086
2000-01-11,0.6688082,0.0006700712,1.176546,0.5979605,8.208651,23823.76610167176,53893.692901671755
2000-01-12,0.6713799,0.000684,1.170911,0.6033479,8.163757,23865.048818556523,54439.96361855653
2000-01-13,0.6810675,0.0006471331,1.16489,0.6018442,8.057023,24259.446291933007,56060.757891933
2000-01-14,0.6765334,0.0006168422,1.176543,0.6049821,7.812236,22929.48406040416,57688.586460404156
2000-01-18,0.6707599,0.0006132548,1.216316,0.6093434,8.088083,23529.754427835276,54970.361627835286
2000-01-19,0.718903,0.0007202647,1.333396,0.6082919,7.789261,26461.261017728797,61508.930617728794
2000-01-20,0.7075802,0.0007255648,1.354661,0.5971693,7.893889,25872.208451089282,59621.33485108928
2000-01-21,0.7092296,0.0006854634,1.328029,0.5963941,7.899797,26032.16371961632,59709.152919616325
2000-01-24,0.7067221,0.0006682385,1.348004,0.5969311,7.893889,25799.904184469444,59549.030584469445
2000-01-25,0.6627643,0.000631323,0.9960855,0.5738037,7.743772,21463.438646433635,57088.233446433645
2000-01-26,0.6517773,0.0006081787,1.010955,0.5751733,7.415987,18984.66458015536,59010.06778015537
2000-01-27,0.6603544,0.0006351604,1.010535,0.5480539,7.237074,18879.115664579203,61501.623664579194
2000-01-28,0.6608811,0.0006195192,1.006481,0.5382747,7.562398,20493.89758689444,58499.35798689444
2000-01-31,0.6692921,0.0008156025,1.018131,0.5653754,7.343109,20226.400147493838,61292.01054749383
2000-02-01,0.6708719,0.0008330741,1.085125,0.5813947,7.11116,19227.0795685676,63768.523568567594
2000-02-02,0.6893483,0.0008204337,1.116904,0.584841,7.213167,21468.122387366406,64448.9703873664
2000-02-03,0.6850807,0.0007991068,1.135894,0.5838296,7.152482,20778.712235651197,64681.7682356512
2000-02-04,0.6857134,0.0007570821,1.141723,0.5850941,7.260668,21351.215877659204,63622.7438776592
2000-02-07,0.6983478,0.0007422729,1.16428,0.5839435,7.227341,22373.699494613596,65141.7514946136
2000-02-08,0.6854133,0.0007018446,1.168437,0.5841047,7.016865,20140.6577473444,66171.7657473444
2000-02-09,0.7015668,0.0006916076,1.207061,0.5906268,7.175682,22441.114108275207,65989.4181082752
2000-02-10,0.6736992,0.0007133929,1.119438,0.5988827,7.157108,19727.275175692805,63559.39917569281
